epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0849,1.10238,4.07298,1.3425,0.34151,0.25585,0.17173,0.11204,1.23293,2.71084,1.37857,0.000132558,0.000132558,0.000132558
2,71.3132,1.09679,3.2026,1.3027,0.2945,0.59783,0.41303,0.27545,1.18367,2.09738,1.33217,0.000257117,0.000257117,0.000257117
3,105.424,1.09002,2.69765,1.28966,0.46539,0.67359,0.5829,0.3472,1.45244,1.85256,1.55976,0.000372876,0.000372876,0.000372876
4,139.078,1.07526,2.37261,1.26672,0.59834,0.7113,0.679,0.43567,1.34889,1.56318,1.37911,0.0003604,0.0003604,0.0003604
5,173.582,1.03866,2.11005,1.22123,0.60955,0.6648,0.70239,0.47744,1.21375,1.62405,1.27798,0.0003472,0.0003472,0.0003472
6,208.329,0.99694,1.97455,1.19468,0.61791,0.77314,0.75861,0.47389,1.38993,1.42007,1.40325,0.000334,0.000334,0.000334
7,240.83,1.00807,1.85132,1.20469,0.75766,0.83059,0.82531,0.54434,1.28633,1.17327,1.3167,0.0003208,0.0003208,0.0003208
8,274.094,0.98498,1.68867,1.18936,0.7568,0.83282,0.8401,0.59684,1.11217,1.05817,1.21393,0.0003076,0.0003076,0.0003076
9,307.742,0.93458,1.60328,1.1504,0.79616,0.8014,0.85536,0.58777,1.17872,1.07371,1.26886,0.0002944,0.0002944,0.0002944
10,342.024,0.95826,1.52033,1.16105,0.86073,0.78974,0.86544,0.62325,1.05765,1.02974,1.173,0.0002812,0.0002812,0.0002812
11,375.414,0.9201,1.42032,1.13775,0.89505,0.82348,0.89822,0.63611,1.11493,0.93573,1.22133,0.000268,0.000268,0.000268
12,409.116,0.91793,1.38796,1.13638,0.81415,0.84382,0.89275,0.64122,1.0862,0.987,1.18409,0.0002548,0.0002548,0.0002548
13,442.018,0.89696,1.33777,1.13323,0.88366,0.85636,0.92495,0.67088,1.04547,0.83713,1.16869,0.0002416,0.0002416,0.0002416
14,476.538,0.89841,1.28154,1.13111,0.92219,0.88072,0.93758,0.7044,0.93805,0.75286,1.09976,0.0002284,0.0002284,0.0002284
15,510.334,0.87981,1.22468,1.11336,0.89214,0.86554,0.9173,0.65314,1.10604,0.80405,1.20308,0.0002152,0.0002152,0.0002152
16,543.053,0.87003,1.17439,1.11582,0.85475,0.87218,0.91388,0.69386,0.94609,0.7974,1.10841,0.000202,0.000202,0.000202
17,576.01,0.85232,1.13646,1.11007,0.90418,0.87574,0.92848,0.68856,0.9868,0.77595,1.14151,0.0001888,0.0001888,0.0001888
18,608.444,0.82329,1.1039,1.08912,0.90252,0.87336,0.9364,0.69056,1.00466,0.76605,1.14943,0.0001756,0.0001756,0.0001756
19,642.489,0.84564,1.06154,1.10004,0.91101,0.88983,0.93863,0.72407,0.88706,0.69001,1.08012,0.0001624,0.0001624,0.0001624
20,675.619,0.83326,1.04879,1.09941,0.92495,0.89115,0.94322,0.72969,0.88209,0.65901,1.07242,0.0001492,0.0001492,0.0001492
21,709.634,0.74569,0.94275,1.07449,0.9217,0.86802,0.92457,0.74236,0.79965,0.69667,1.03891,0.000136,0.000136,0.000136
22,742.589,0.71511,0.85995,1.02827,0.88942,0.92501,0.94902,0.74838,0.80863,0.65661,1.04101,0.0001228,0.0001228,0.0001228
23,775.666,0.70805,0.83479,1.03394,0.90903,0.89426,0.93989,0.74944,0.78351,0.64002,1.02389,0.0001096,0.0001096,0.0001096
24,808.1,0.69422,0.80091,1.01952,0.91238,0.91592,0.95305,0.73588,0.88136,0.59476,1.07344,9.64e-05,9.64e-05,9.64e-05
25,840.368,0.6893,0.7771,1.02196,0.91224,0.90821,0.94542,0.74855,0.82707,0.61347,1.04069,8.32e-05,8.32e-05,8.32e-05
26,872.047,0.67241,0.75135,1.01252,0.90789,0.89155,0.94049,0.75771,0.77911,0.61542,1.01928,7e-05,7e-05,7e-05
27,904.612,0.67901,0.74909,1.01661,0.91098,0.90735,0.94271,0.76131,0.78999,0.59921,1.02266,5.68e-05,5.68e-05,5.68e-05
28,937.712,0.66606,0.72315,1.00058,0.90876,0.89832,0.94955,0.76446,0.76846,0.57807,1.01847,4.36e-05,4.36e-05,4.36e-05
29,970.354,0.64332,0.705,0.99953,0.91628,0.91173,0.94943,0.77348,0.75068,0.56105,1.00851,3.04e-05,3.04e-05,3.04e-05
30,1002.84,0.64801,0.70502,1.00103,0.90022,0.92508,0.94968,0.77115,0.755,0.57447,1.0105,1.72e-05,1.72e-05,1.72e-05
