epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.296,1.38859,6.22872,1.87528,0.20221,0.28171,0.13429,0.07732,1.58645,2.84841,2.18393,0.000132946,0.000132946,0.000132946
2,213.469,1.28922,5.17794,1.73804,0.28528,0.52724,0.38989,0.2397,1.43631,2.43663,2.06885,0.000257492,0.000257492,0.000257492
3,319.276,1.23632,4.44527,1.70813,0.3491,0.6131,0.46428,0.26848,1.55658,2.12194,2.12536,0.000373238,0.000373238,0.000373238
4,424.131,1.26923,3.93564,1.69321,0.51556,0.61466,0.60253,0.33429,1.62103,1.91532,2.22317,0.0003604,0.0003604,0.0003604
5,529.867,1.22028,3.56469,1.6484,0.53928,0.65855,0.64589,0.37834,1.45602,1.78735,2.04364,0.0003472,0.0003472,0.0003472
6,632.907,1.20402,3.17686,1.63297,0.61203,0.71361,0.71185,0.40046,1.55299,1.57147,2.16251,0.000334,0.000334,0.000334
7,735.912,1.17102,2.89223,1.60406,0.63158,0.73883,0.71796,0.39547,1.57234,1.7631,2.22292,0.0003208,0.0003208,0.0003208
8,838.507,1.13131,2.61584,1.57309,0.65584,0.74109,0.75383,0.47145,1.42175,1.41681,2.04341,0.0003076,0.0003076,0.0003076
9,941.905,1.15327,2.44919,1.56565,0.75367,0.73375,0.77881,0.46932,1.46418,1.39658,2.0834,0.0002944,0.0002944,0.0002944
10,1045.03,1.13003,2.29847,1.55471,0.78167,0.73202,0.80103,0.51073,1.38151,1.27671,2.02524,0.0002812,0.0002812,0.0002812
11,1148.51,1.10146,2.15927,1.5292,0.78926,0.77601,0.83142,0.51338,1.37671,1.25033,1.9618,0.000268,0.000268,0.000268
12,1254.61,1.08912,2.04059,1.51215,0.80579,0.79614,0.85762,0.54179,1.37345,1.14998,1.98875,0.0002548,0.0002548,0.0002548
13,1358.36,1.08398,1.93437,1.50807,0.8459,0.75434,0.8625,0.53748,1.42797,1.19247,2.0571,0.0002416,0.0002416,0.0002416
14,1462.35,1.07881,1.84661,1.50092,0.84631,0.83363,0.88069,0.56479,1.34414,1.05495,1.93242,0.0002284,0.0002284,0.0002284
15,1567.15,1.035,1.72967,1.47,0.87558,0.83198,0.88902,0.585,1.29018,1.03691,1.8995,0.0002152,0.0002152,0.0002152
16,1670.3,1.02655,1.63972,1.45645,0.87733,0.80245,0.88228,0.6026,1.2023,1.08015,1.79121,0.000202,0.000202,0.000202
17,1777.74,1.02023,1.6012,1.47058,0.84848,0.85708,0.89303,0.57189,1.33537,1.0471,1.93605,0.0001888,0.0001888,0.0001888
18,1880.95,0.97902,1.53707,1.4223,0.85645,0.85146,0.90617,0.59763,1.28135,0.98006,1.91616,0.0001756,0.0001756,0.0001756
19,1983.07,0.97151,1.46725,1.41075,0.89346,0.85663,0.91455,0.61214,1.24371,0.89962,1.85196,0.0001624,0.0001624,0.0001624
20,2088.02,0.99069,1.43917,1.42006,0.90014,0.86074,0.9207,0.65257,1.11661,0.91806,1.71042,0.0001492,0.0001492,0.0001492
21,2190.49,0.99161,1.55277,1.55173,0.90176,0.87367,0.9203,0.63751,1.14967,0.89191,1.72076,0.000136,0.000136,0.000136
22,2287.66,0.97285,1.44254,1.52775,0.88231,0.89877,0.93873,0.66539,1.08039,0.87638,1.66358,0.0001228,0.0001228,0.0001228
23,2386.64,0.93904,1.37033,1.48198,0.90952,0.85618,0.92082,0.67438,1.00558,0.86954,1.59087,0.0001096,0.0001096,0.0001096
24,2484.5,0.92744,1.32994,1.46345,0.91897,0.85305,0.92567,0.65866,1.09554,0.84748,1.66974,9.64e-05,9.64e-05,9.64e-05
25,2581.32,0.91173,1.27942,1.4795,0.85679,0.88003,0.9194,0.62744,1.16899,0.89177,1.79445,8.32e-05,8.32e-05,8.32e-05
26,2677.86,0.88522,1.22928,1.43963,0.90709,0.88342,0.92767,0.67639,1.06234,0.80173,1.65363,7e-05,7e-05,7e-05
27,2774.38,0.88081,1.19666,1.44194,0.91129,0.88513,0.93065,0.67092,1.0694,0.81044,1.66551,5.68e-05,5.68e-05,5.68e-05
28,2870.45,0.87019,1.18151,1.42488,0.91665,0.88149,0.93431,0.67321,1.05342,0.77734,1.6503,4.36e-05,4.36e-05,4.36e-05
29,2966.63,0.85358,1.15494,1.41978,0.90633,0.8811,0.93427,0.68269,1.02572,0.77844,1.62056,3.04e-05,3.04e-05,3.04e-05
30,3064.58,0.84443,1.14468,1.41646,0.9252,0.8945,0.94161,0.68021,1.0485,0.74777,1.65143,1.72e-05,1.72e-05,1.72e-05
